[ ssh/vim               ] trial  1 measure  40/100: 47.55 ms
[ ssh/vim               ] trial  1 measure  41/100: 49.56 ms
[ ssh/vim               ] trial  1 measure  42/100: 34.05 ms
[ ssh/vim               ] trial  1 measure  43/100: 35.60 ms
[ ssh/vim               ] trial  1 measure  44/100: 38.48 ms
[ ssh/vim               ] trial  1 measure  45/100: 30.84 ms
[ ssh/vim               ] trial  1 measure  46/100: 77.21 ms
[ ssh/vim               ] trial  1 measure  47/100: 52.39 ms
[ ssh/vim               ] trial  1 measure  48/100: 47.74 ms
[ ssh/vim               ] trial  1 measure  49/100: 55.92 ms
[ ssh/vim               ] trial  1 measure  50/100: 57.03 ms
[ ssh/vim               ] trial  1 measure  51/100: 41.38 ms
[ ssh/vim               ] trial  1 measure  52/100: 24.64 ms
[ ssh/vim               ] trial  1 measure  53/100: 49.33 ms
[ ssh/vim               ] trial  1 measure  54/100: 34.34 ms
[ ssh/vim               ] trial  1 measure  55/100: 26.17 ms
[ ssh/vim               ] trial  1 measure  56/100: 121.24 ms
[ ssh/vim               ] trial  1 measure  57/100: 33.49 ms
[ ssh/vim               ] trial  1 measure  58/100: 72.85 ms
[ ssh/vim               ] trial  1 measure  59/100: 77.56 ms
[ ssh/vim               ] trial  1 measure  60/100: 62.47 ms
[ ssh/vim               ] trial  1 measure  61/100: 62.15 ms
[ ssh/vim               ] trial  1 measure  62/100: 62.18 ms
[ ssh/vim               ] trial  1 measure  63/100: 84.55 ms
[ ssh/vim               ] trial  1 measure  64/100: 60.88 ms
[ ssh/vim               ] trial  1 measure  65/100: 36.25 ms
[ ssh/vim               ] trial  1 measure  66/100: 45.22 ms
[ ssh/vim               ] trial  1 measure  67/100: 45.46 ms
[ ssh/vim               ] trial  1 measure  68/100: 80.88 ms
[ ssh/vim               ] trial  1 measure  69/100: 26.31 ms
[ ssh/vim               ] trial  1 measure  70/100: 70.16 ms
[ ssh/vim               ] trial  1 measure  71/100: 28.69 ms
[ ssh/vim               ] trial  1 measure  72/100: 118.15 ms
[ ssh/vim               ] trial  1 measure  73/100: 45.33 ms
[ ssh/vim               ] trial  1 measure  74/100: 45.29 ms
[ ssh/vim               ] trial  1 measure  75/100: 27.70 ms
[ ssh/vim               ] trial  1 measure  76/100: 68.70 ms
[ ssh/vim               ] trial  1 measure  77/100: 64.42 ms
[ ssh/vim               ] trial  1 measure  78/100: 36.23 ms
[ ssh/vim               ] trial  1 measure  79/100: 47.93 ms
[ ssh/vim               ] trial  1 measure  80/100: 80.26 ms
[ ssh/vim               ] trial  1 measure  81/100: 43.38 ms
[ ssh/vim               ] trial  1 measure  82/100: 27.33 ms
[ ssh/vim               ] trial  1 measure  83/100: 40.20 ms
[ ssh/vim               ] trial  1 measure  84/100: 61.27 ms
[ ssh/vim               ] trial  1 measure  85/100: 61.04 ms
[ ssh/vim               ] trial  1 measure  86/100: 44.77 ms
[ ssh/vim               ] trial  1 measure  87/100: 104.15 ms
[ ssh/vim               ] trial  1 measure  88/100: 77.52 ms
[ ssh/vim               ] trial  1 measure  89/100: 53.39 ms
[ ssh/vim               ] trial  1 measure  90/100: 35.89 ms
[ ssh/vim               ] trial  1 measure  91/100: 34.73 ms
[ ssh/vim               ] trial  1 measure  92/100: 46.86 ms
[ ssh/vim               ] trial  1 measure  93/100: 43.06 ms
[ ssh/vim               ] trial  1 measure  94/100: 50.19 ms
[ ssh/vim               ] trial  1 measure  95/100: 57.73 ms
[ ssh/vim               ] trial  1 measure  96/100: 37.40 ms
[ ssh/vim               ] trial  1 measure  97/100: 36.52 ms
[ ssh/vim               ] trial  1 measure  98/100: 78.64 ms
[ ssh/vim               ] trial  1 measure  99/100: 75.97 ms
[ ssh/vim               ] trial  1 measure 100/100: 24.41 ms
[ ssh/vim               ] trial  2/3 opening session...
[ ssh/vim               ] trial  2/3 session_setup=2102.5 ms
[ ssh/vim               ] trial  2 measure   1/100: 39.99 ms
[ ssh/vim               ] trial  2 measure   2/100: 56.95 ms
[ ssh/vim               ] trial  2 measure   3/100: 49.09 ms
[ ssh/vim               ] trial  2 measure   4/100: 25.90 ms
[ ssh/vim               ] trial  2 measure   5/100: 66.39 ms
[ ssh/vim               ] trial  2 measure   6/100: 26.55 ms
[ ssh/vim               ] trial  2 measure   7/100: 30.30 ms
[ ssh/vim               ] trial  2 measure   8/100: 24.89 ms
[ ssh/vim               ] trial  2 measure   9/100: 38.84 ms
[ ssh/vim               ] trial  2 measure  10/100: 34.30 ms
[ ssh/vim               ] trial  2 measure  11/100: 55.64 ms
[ ssh/vim               ] trial  2 measure  12/100: 107.06 ms
[ ssh/vim               ] trial  2 measure  13/100: 36.49 ms
