[ ssh/interactive_shell ] trial  1/3 opening session...
[ ssh/interactive_shell ] trial  1/3 session_setup=4185.2 ms
[ ssh/vim               ] trial  1 measure  16/100: 232.34 ms
[ ssh/vim               ] trial  1 measure  17/100: 245.85 ms
[ ssh/vim               ] trial  1 measure  18/100: 289.36 ms
[ ssh/vim               ] trial  1 measure  19/100: 261.97 ms
[ ssh/vim               ] trial  1 measure  20/100: 221.53 ms
[ ssh/vim               ] trial  1 measure  21/100: 492.71 ms
[ ssh/vim               ] trial  1 measure  22/100: 193.90 ms
[ ssh/vim               ] trial  1 measure  23/100: 229.07 ms
[ ssh/vim               ] trial  1 measure  24/100: 262.07 ms
[ ssh/vim               ] trial  1 measure  25/100: 290.30 ms
[ ssh/vim               ] trial  1 measure  26/100: 488.46 ms
[ ssh/vim               ] trial  1 measure  27/100: 351.39 ms
[ ssh/vim               ] trial  1 measure  28/100: 250.94 ms
[ ssh/vim               ] trial  1 measure  29/100: 266.94 ms
[ ssh/vim               ] trial  1 measure  30/100: 464.83 ms
[ ssh/vim               ] trial  1 measure  31/100: 390.91 ms
[ ssh/vim               ] trial  1 measure  32/100: 630.61 ms
[ ssh/vim               ] trial  1 measure  33/100: 420.22 ms
[ ssh/vim               ] trial  1 measure  34/100: 363.94 ms
[ ssh/vim               ] trial  1 measure  35/100: 261.54 ms
[ ssh/vim               ] trial  1 measure  36/100: 248.73 ms
[ ssh/vim               ] trial  1 measure  37/100: 323.26 ms
[ ssh/vim               ] trial  1 measure  38/100: 232.80 ms
[ ssh/vim               ] trial  1 measure  39/100: 247.95 ms
[ ssh/vim               ] trial  1 measure  40/100: 235.19 ms
[ ssh/vim               ] trial  1 measure  41/100: 267.24 ms
[ ssh/vim               ] trial  1 measure  42/100: 221.83 ms
[ ssh/vim               ] trial  1 measure  43/100: 566.12 ms
[ ssh/vim               ] trial  1 measure  44/100: 239.72 ms
[ ssh/vim               ] trial  1 measure  45/100: 225.07 ms
[ ssh/vim               ] trial  1 measure  46/100: 297.35 ms
[ ssh/vim               ] trial  1 measure  47/100: 297.49 ms
[ ssh/vim               ] trial  1 measure  48/100: 221.27 ms
[ ssh/vim               ] trial  1 measure  49/100: 270.01 ms
[ ssh/vim               ] trial  1 measure  50/100: 324.45 ms
[ ssh/vim               ] trial  1 measure  51/100: 255.17 ms
[ ssh/vim               ] trial  1 measure  52/100: 505.47 ms
[ ssh/vim               ] trial  1 measure  53/100: 267.03 ms
[ ssh/vim               ] trial  1 measure  54/100: 257.59 ms
[ ssh/vim               ] trial  1 measure  55/100: 215.86 ms
[ ssh/vim               ] trial  1 measure  56/100: 235.35 ms
[ ssh/vim               ] trial  1 measure  57/100: 224.80 ms
[ ssh/vim               ] trial  1 measure  58/100: 278.37 ms
[ ssh/vim               ] trial  1 measure  59/100: 262.80 ms
[ ssh/vim               ] trial  1 measure  60/100: 245.26 ms
[ ssh/vim               ] trial  1 measure  61/100: 237.13 ms
[ ssh/vim               ] trial  1 measure  62/100: 227.92 ms
[ ssh/vim               ] trial  1 measure  63/100: 269.46 ms
[ ssh/vim               ] trial  1 measure  64/100: 259.44 ms
[ ssh/vim               ] trial  1 measure  65/100: 248.88 ms
[ ssh/vim               ] trial  1 measure  66/100: 264.01 ms
[ ssh/vim               ] trial  1 measure  67/100: 247.55 ms
[ ssh/vim               ] trial  1 measure  68/100: 288.99 ms
[ ssh/vim               ] trial  1 measure  69/100: 664.81 ms
[ ssh/vim               ] trial  1 measure  70/100: 198.04 ms
[ ssh/vim               ] trial  1 measure  71/100: 190.03 ms
[ ssh/vim               ] trial  1 measure  72/100: 267.47 ms
[ ssh/vim               ] trial  1 measure  73/100: 271.08 ms
[ ssh/vim               ] trial  1 measure  74/100: 242.03 ms
[ ssh/vim               ] trial  1 measure  75/100: 218.49 ms
[ ssh/vim               ] trial  1 measure  76/100: 259.18 ms
[ ssh/vim               ] trial  1 measure  77/100: 283.28 ms
[ ssh/vim               ] trial  1 measure  78/100: 218.60 ms
[ ssh/vim               ] trial  1 measure  79/100: 541.79 ms
[ ssh/vim               ] trial  1 measure  80/100: 311.04 ms
[ ssh/vim               ] trial  1 measure  81/100: 513.25 ms
[ ssh/vim               ] trial  1 measure  82/100: 208.34 ms
[ ssh/vim               ] trial  1 measure  83/100: 217.13 ms
[ ssh/vim               ] trial  1 measure  84/100: 226.19 ms
[ ssh/vim               ] trial  1 measure  85/100: 234.62 ms
[ ssh/vim               ] trial  1 measure  86/100: 573.16 ms
[ ssh/vim               ] trial  1 measure  87/100: 790.15 ms
[ ssh/vim               ] trial  1 measure  88/100: 326.23 ms
[ ssh/vim               ] trial  1 measure  89/100: 291.18 ms
[ ssh/vim               ] trial  1 measure  90/100: 236.54 ms
[ ssh/vim               ] trial  1 measure  91/100: 211.33 ms
[ ssh/vim               ] trial  1 measure  92/100: 213.39 ms
[ ssh/vim               ] trial  1 measure  93/100: 222.61 ms
[ ssh/vim               ] trial  1 measure  94/100: 303.21 ms
[ ssh/vim               ] trial  1 measure  95/100: 235.01 ms
[ ssh/vim               ] trial  1 measure  96/100: 227.82 ms
[ ssh/vim               ] trial  1 measure  97/100: 239.67 ms
[ ssh/vim               ] trial  1 measure  98/100: 186.50 ms
[ ssh/vim               ] trial  1 measure  99/100: 377.72 ms
[ ssh/vim               ] trial  1 measure 100/100: 268.97 ms
